1	1	1	129	73	2	W H 3rd floor elevator	NULL	3	-10	-10	48	1	3	1	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
1	1	2	129	73	2	W H 308 ACCESS Lab	NULL	3	-10	-10	-10	-10	-10	-10	3	1	-10	-10	-10	-10	-10	-10	-10	-10
1	1	3	129	73	2	W H Hub 1 (3rd floor)	120,401	3	5	5	47	2	2	1	1	1	-10	-10	-10	-10	-10	-10	-10	-10
2	1	4	129	73	2	W H 309 E C E Student Lounge 1st Entrance	NULL	3	-10	-10	-10	-10	-10	-10	5	1	-10	-10	-10	-10	-10	-10	-10	-10
2	1	5	129	73	2	W H Hub 2 (3rd floor)	120,331	3	8	7	3	5	4	1	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
3	1	6	129	73	2	W H 300 E C E Department	NULL	3	-10	-10	-10	-10	8	2	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
3	1	7	129	73	2	W H 309 E C E Student Lounge 2nd Entrance	NULL	3	-10	-10	-10	-10	-10	-10	8	1	-10	-10	-10	-10	-10	-10	-10	-10
3	1	8	129	73	2	W H Hub 3 (3rd floor)	120,254	3	10	4	5	7	7	1	6	2	-10	-10	-10	-10	-10	-10	-10	-10
4	1	9	129	73	2	W H 311 Doctor Pang's Office	NULL	3	-10	-10	-10	-10	10	1	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
4	1	10	129	73	2	W H Hub 4 (3rd floor)	120,199	3	13	4	8	4	-10	-10	9	1	-10	-10	-10	-10	-10	-10	-10	-10
5	1	11	129	73	2	W H 310 Classroom	NULL	3	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	13	1
5	1	12	129	73	2	W H 312 CAPP Lab	NULL	3	-10	-10	-10	-10	13	1	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
5	1	13	129	73	2	W H Hub 5 (3rd floor)	120,156	3	16	3	10	4	-10	-10	12	1	11	1	-10	-10	-10	-10	-10	-10
6	1	14	129	73	2	W H Women's Restroom (3rd floor)	NULL	3	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	16	2	-10	-10
6	1	15	129	73	2	W H 314 Miss Rani's Office	NULL	3	-10	-10	16	1	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
6	1	16	129	73	2	W H Hub 6 (3rd floor)	120,118	3	15	1	13	3	18	11	-10	-10	-10	-10	14	2	-10	-10	-10	-10
7	1	17	129	73	2	W H 315 Evergy Power Lab	NULL	3	-10	-10	18	1	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
7	1	18	129	73	2	W H Hub 7 (3rd floor)	258,118	3	17	1	-10	-10	20	4	16	11	-10	-10	-10	-10	-10	-10	-10	-10
